date,rainfall_mm,temperature_max_c,rainfall_source,tmax_source,soil_moisture_m3m3,soil_moisture_source
2021-03-08,0.0,36.56,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-09,0.0,36.29,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-10,0.0,36.33,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-11,0.0,35.6,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.257,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-12,0.0,33.94,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.256,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-13,7.52,33.06,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.255,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-14,0.0,34.49,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-15,0.0,35.41,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.267,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-16,0.0,34.89,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.266,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-17,0.0,35.22,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.261,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-18,0.0,34.38,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.268,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-19,0.38,30.42,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.285,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-20,0.66,33.07,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.291,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-21,3.38,34.61,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.291,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-22,0.0,33.47,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.292,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-23,0.49,29.83,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.301,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-24,0.0,34.77,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.301,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-25,0.0,36.16,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.297,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-26,0.0,35.6,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.293,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-27,0.0,37.38,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.285,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-28,0.0,38.89,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.28,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-29,0.0,40.14,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.28,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-30,0.0,39.74,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.278,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-03-31,0.0,39.18,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.272,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-01,0.0,38.43,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.266,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-02,0.0,39.23,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-03,0.0,39.18,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.266,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-04,0.0,39.28,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.27,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-05,0.0,40.13,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.264,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-06,0.0,40.8,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.256,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-07,0.0,40.7,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.255,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-08,0.0,40.28,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.255,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-09,0.0,38.25,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.254,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-10,0.0,38.32,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.247,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-11,0.76,36.47,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.245,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-12,0.0,37.2,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.245,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-13,0.0,38.74,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.247,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-14,0.0,37.89,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.247,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-15,0.0,35.64,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.247,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-16,0.0,38.24,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.247,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-17,0.0,37.7,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.251,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-18,0.0,38.92,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-19,0.0,39.19,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-20,0.0,39.46,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-21,0.0,37.8,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.253,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-22,0.0,37.38,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-23,0.0,38.29,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-24,0.0,39.29,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-04-25,0.0,38.85,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.262,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
